locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	洛伦茨规范、洛伦茨规范条件	
cmn-Latn-CN	Luòlúncí guīfàn, Luòlúncí guīfàn tiáojiàn	
dan-Latn-DK		
deu-Latn-DE	Lorenz-Eichung	
eng-Latn-US	Lorenz gauge, Lorenz gauge condition	electromagnetic four-potential; gauge fixing
fin-Latn-FI		
fra-Latn-FR	jauge [f] de Lorenz	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP		
jpn-Jpan-JP		
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
