locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	电抗	
cmn-Latn-CN	diàn kàng	
dan-Latn-DK		
deu-Latn-DE	Blindwiderstand [m], Reaktanz	
eng-Latn-US	electrical reactance	electrical capacitance; inductance; superconductivity
fin-Latn-FI		
fra-Latn-FR	réactance	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	リアクタンス	
jpn-Jpan-JP	リアクタンス	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	реакта́нс, реакти́вное сопротивле́ние	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
