locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	电磁脉冲	
cmn-Latn-CN	diàncí màichōng	
dan-Latn-DK		
deu-Latn-DE	elektromagnetische Impuls, elektromagnetische Puls	
eng-Latn-US	electromagnetic pulse, transient electromagnetic disturbance	electric current; electromagnetic energy; electromagnetic field
fin-Latn-FI		
fra-Latn-FR	impulsion électromagnétique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	でんじパルス	
jpn-Jpan-JP	電磁パルス	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	электромагни́тный и́мпульс	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
