locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN		
cmn-Latn-CN		
dan-Latn-DK		
deu-Latn-DE	elektrischer Leitwert	
eng-Latn-US	electrical conductance	electric potential difference, electric pressure, electric tension, voltage, electrical current
fin-Latn-FI		
fra-Latn-FR	conductance	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	コンダクタンス	
jpn-Jpan-JP	コンダクタンス	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	электропрово́дность	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
