locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	电阻	
cmn-Latn-CN	diàn zǔ	
dan-Latn-DK		
deu-Latn-DE	Wirkwiderstand [m]	
eng-Latn-US	electrical resistance	electric potential difference, electric pressure, electric tension, voltage, electrical current
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ていこう	
jpn-Jpan-JP	抵抗	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	сопротивле́ние	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
