locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	串联电路	
cmn-Latn-CN	chuànlián diànlù	
dan-Latn-DK		
deu-Latn-DE	Reihenschaltung, Reihenschluss [m], serieller Stromkreis	
eng-Latn-US	series circuit	terminal (electronics)
fin-Latn-FI		
fra-Latn-FR	circuit en série	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ちょくれつかいろ	
jpn-Jpan-JP	直列回路	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	после́довательное соедине́ния	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
