locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	基本电荷、元电荷	
cmn-Latn-CN	jīběn diànhè, yuán diànhè	
dan-Latn-DK		
deu-Latn-DE	Elementarladung	
eng-Latn-US	elementary charge	electric charge; proton
fin-Latn-FI		
fra-Latn-FR	charge élémentaire	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	そでんか、でんかそりょう、でんきそりょう	
jpn-Jpan-JP	素電荷、電荷素量、電気素量	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	элемента́рный электри́ческий заря́д	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ	𝑒
