locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	磁矩	
cmn-Latn-CN	cí jǔ	
dan-Latn-DK		
deu-Latn-DE	magnetische Dipolmoment, magnetische Moment	
eng-Latn-US	magnetic moment	
fin-Latn-FI		
fra-Latn-FR	moment magnétique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じきモーメント	
jpn-Jpan-JP	磁気モーメント	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	магни́тный дипо́льный моме́нт, магни́тный моме́нт	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
