locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	安培环路定律	
cmn-Latn-CN	Ānpéi huánlù dìnglǜ	
dan-Latn-DK		
deu-Latn-DE	Ampèresche Gesetz [n], Durchflutungsgesetz [n], Durchflutungssatz [m]	
eng-Latn-US	Ampère–Maxwell law, Ampère’s circuital law	
fin-Latn-FI		
fra-Latn-FR	théorème d’Ampère	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP		
jpn-Jpan-JP		
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	теоре́ма о циркуля́ции магни́тного по́ля	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
