locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_数字信号处理_
cmn-Latn-CN	_shùzì xìnhào chǔlǐ_
dan-Latn-DK	
deu-Latn-DE	_digitale Signalverarbeitung_
eng-Latn-US	_digital signal processing_
fin-Latn-FI	
fra-Latn-FR	_traitement numérique du signal_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_デジタルしんごうしょり_
jpn-Jpan-JP	_デジタル信号処理_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	_پردازش سیگنال دیجیتال_
por-Latn-PT	
rus-Cyrl-RU	_цифрова́я обрабо́тка сигна́лов_
spa-Latn-ES	
swe-Latn-SE	
tur-Latn-TR	
zxx-Zsym-ZZ	
