locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_高能物理学_、_粒子物理学_
cmn-Latn-CN	_gǎonéng wùlǐxué_, _lìzǐ wùlǐxué_
dan-Latn-DK	
deu-Latn-DE	_Teilchenphysik_
eng-Latn-US	_high energy physics_, _particle physics_
fin-Latn-FI	
fra-Latn-FR	_physique [f] des hautes énergies [f-pl]_, _physique [f] des particules [f-pl]_, _physique [f] subatomique_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_そりゅうしぶつりがく_
jpn-Jpan-JP	_素粒子物理学_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	_фи́зика элемента́рных части́ц_
spa-Latn-ES	
swe-Latn-SE	
tur-Latn-TR	
zxx-Zsym-ZZ	
