locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	平行轴定理	
cmn-Latn-CN	píngxíngzhóu dìnglǐ	
dan-Latn-DK		
deu-Latn-DE	Parallelachsen-Theorem [n], Satz [m] von Huygens-Steiner, Satz [m] von Steiner, Steiner-Regel, Steinerscher Satz	
eng-Latn-US	Huygens–Steiner theorem, Steiner’s theorem, parallel axis theorem	
fin-Latn-FI		
fra-Latn-FR	théorème de Huygens, théorème de Steiner, théorème de transport [m], théorème des axes [m-pl] parallèles	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	へいこうじくのていり	
jpn-Jpan-JP	平行軸の定理	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	теоре́ма Гю́йгенса, теоре́ма Гю́йгенса — Ште́йнера, теоре́ма Ште́йнера	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
