locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_分析力学_
cmn-Latn-CN	_fēnxī lìxué_
dan-Latn-DK	
deu-Latn-DE	_analytische Mechanik_, _theoretische Mechanik_
eng-Latn-US	_analytical mechanics_, _theoretical mechanics_
fin-Latn-FI	
fra-Latn-FR	_mécanique [f] analytique_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_かいせきりきがく_
jpn-Jpan-JP	_解析力学_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	_аналити́ческая меха́ник_
spa-Latn-ES	
swe-Latn-SE	
tur-Latn-TR	
zxx-Zsym-ZZ	
