locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_工程力学_、_应用力学_
cmn-Latn-CN	_gōngchéng lìxué_, _yìngyòng lìxué_
dan-Latn-DK	
deu-Latn-DE	_technische Mechanik_
eng-Latn-US	_applied mechanics_, _engineering mechanics_
fin-Latn-FI	
fra-Latn-FR	_mécanique [f] (technique)_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_おうようりきがく_
jpn-Jpan-JP	_応用力学_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	_прикладна́я меха́ник_
spa-Latn-ES	
swe-Latn-SE	
tur-Latn-TR	
zxx-Zsym-ZZ	
