locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	截面二次轴矩、面积惯性矩	
cmn-Latn-CN	jiémiàn èrcì zhóujǔ, miànji guànxìngjǔ	
dan-Latn-DK		
deu-Latn-DE	Flächenmoment 2. Grades [m], Flächenträgheitsmoment	
eng-Latn-US	area moment of inertia, quadratic moment of area, second area moment, second moment of area	area; axis
fin-Latn-FI		
fra-Latn-FR	moment quadratique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だんめんにじモーメント	
jpn-Jpan-JP	断面二次モーメント	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
