locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	力的平行四边形	
cmn-Latn-CN	lì de píngxíngsìbiānxíng	
dan-Latn-DK		
deu-Latn-DE	Kräfteparallelogramm [n]	
eng-Latn-US	parallelogram of forces	force; parallelogram; vector addition
fin-Latn-FI		
fra-Latn-FR	parallélogramme [m] des forces [f-pl]	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ちからのへいこうしへんけい	
jpn-Jpan-JP	力の平行四辺形	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	параллелогра́мм сил	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
