locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	牛顿第二运动定律	
cmn-Latn-CN	Niúdùn dì’èr yùndòng dìnglǜ	
dan-Latn-DK		
deu-Latn-DE	Aktionsprinzip [m], Impulssatz [m], zweites Newtonsches Gesetz	
eng-Latn-US	Newton’s second law of motion	
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	うんどうのだいにほうそく、かんせいのほうそく	
jpn-Jpan-JP	運動の第2法則、慣性の法則	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	Второ́й зако́н Нью́тона/Ньюто́на	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
