locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	牛顿第三运动定律	
cmn-Latn-CN	Niúdùn dìsān yùndòng dìnglǜ	
dan-Latn-DK		
deu-Latn-DE	drittes Newtonsches Gesetz	
eng-Latn-US	Newton’s third law of motion	
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	うんどうのだいさんほうそく、さよう・はんさようのほうそく	
jpn-Jpan-JP	運動の第3法則、作用・反作用の法則	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	Тре́тий зако́н Нью́тона/Ньюто́на	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
