locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	动量	
cmn-Latn-CN	dòng liàng	
dan-Latn-DK		
deu-Latn-DE	Impuls [m]	
eng-Latn-US	linear momentum, momentum, translational momentum	calorific value, energy value, heat of combustion, heating value; product; velocity
fin-Latn-FI		
fra-Latn-FR	quantité de mouvement	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	うんどうりょう	
jpn-Jpan-JP	運動量	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	и́мпульс, коли́чество движе́ния	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
