locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	力矩	
cmn-Latn-CN	lì jǔ	
dan-Latn-DK		
deu-Latn-DE	Drehmoment, Kraftmoment, Moment	
eng-Latn-US	moment of force, torque	force; rotation
fin-Latn-FI		
fra-Latn-FR	moment d’une force	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	トルク	
jpn-Jpan-JP	トルク	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	вертя́щий момент, враща́тельный момент, враща́ющий момент, кру́тящий момент, моме́нт си́лы, моме́нт си́лы относи́тельно то́чки, скру́чивающий момент	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
