locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	惯性参考系、惯性坐标系、惯性系	
cmn-Latn-CN	guànxìng cānkǎoxì, guànxìng xì, guànxìng zuòbiāoxì	
dan-Latn-DK		
deu-Latn-DE	Inertialsystem [n]	
eng-Latn-US	Galilean reference frame, inertial frame, inertial frame of reference, inertial reference frame	Kepler’s first law; frame of reference, reference frame
fin-Latn-FI		
fra-Latn-FR	référentiel galiléen, référentiel inertiel	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	かんせいけい	
jpn-Jpan-JP	慣性系	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	инерциа́льная систе́ма отсчёта	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
