locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	角频率、角速率、角速度标量	
cmn-Latn-CN	jiǎo pínlǜ, jiǎo sùlǜ, jiǎosùdù biāoliàng	
dan-Latn-DK		
deu-Latn-DE	Kreisfrequenz, Winkelfrequenz	
eng-Latn-US	angular frequency, angular speed, circular frequency, orbital frequency, pulsatance, radian frequency	angular displacement; time
fin-Latn-FI		
fra-Latn-FR	fréquence angulaire	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	えんしんどうすう、かくしゅうはすう、かくしんどうすう	
jpn-Jpan-JP	円振動数、角周波数、角振動数	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	углова́я частота́	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
