locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	弹性势能	
cmn-Latn-CN	tánxìng shìnéng	
dan-Latn-DK		
deu-Latn-DE	Formänderungsenergie, Verformungsenergie, Verzerrungsenergie, elastische Energie	
eng-Latn-US	elastic energy	elastic deformation; potential energy
fin-Latn-FI		
fra-Latn-FR	énergie potentielle élastique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だんせいエネルギー	
jpn-Jpan-JP	弾性エネルギー	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	упру́гая потенциа́льная эне́ргия	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
