locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	变加速度圆周运动	
cmn-Latn-CN	biàn jiāsùdù yuánzhōu yùndòng	
dan-Latn-DK		
deu-Latn-DE	ungleichmäßig beschleunigte Kreisbewegung	
eng-Latn-US	non-uniformly accelerated circular motion	uniform motion
fin-Latn-FI		
fra-Latn-FR	mouvement circulaire non uniformément accéléré	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ひとうかそくどえんうんどう、ふとうかそくどえんうんどう	
jpn-Jpan-JP	非等加速度円運動、不等加速度円運動	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
