locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	逃逸速度	
cmn-Latn-CN	táoyì sùdù	
dan-Latn-DK		
deu-Latn-DE	Entweichgeschwindigkeit, Fluchtgeschwindigkeit	
eng-Latn-US	escape velocity	
fin-Latn-FI		
fra-Latn-FR	vitesse de libération	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だっしゅつそくど	
jpn-Jpan-JP	脱出速度	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	втора́я косми́ческая ско́рость	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
