locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	第一宇宙速度	
cmn-Latn-CN	dìyī yǔzhòusùdù	
dan-Latn-DK		
deu-Latn-DE	Kreisbahngeschwindigkeit, erste kosmische Geschwindigkeit	
eng-Latn-US	first cosmic velocity	escape velocity
fin-Latn-FI		
fra-Latn-FR	première vitesse cosmique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だいいちうちゅうそくど	
jpn-Jpan-JP	第一宇宙速度	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	кругова́я ско́рость, пе́рвая косми́ческая ско́рость	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
