locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	第三宇宙速度	
cmn-Latn-CN	dìsān yǔzhòusùdù	
dan-Latn-DK		
deu-Latn-DE	dritte kosmische Geschwindigkeit 	
eng-Latn-US	third cosmic velocity	escape velocity
fin-Latn-FI		
fra-Latn-FR	troisième vitesse cosmique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だいさんうちゅうそくど	
jpn-Jpan-JP	第三宇宙速度	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	тре́тья косми́ческая ско́рость	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
