locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	电压表、伏特计	
cmn-Latn-CN	diànyā biǎo, fútè jì	
dan-Latn-DK		
deu-Latn-DE	Spannungsmesser [m], Spannungsmessgerät [m]	
eng-Latn-US	voltmeter	electric potential difference, electric pressure, electric tension, voltage
fin-Latn-FI		
fra-Latn-FR	voltmètre [m]	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	でんあつけい	
jpn-Jpan-JP	電圧計	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	вольтме́тр	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
