locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	统一原子质量单位、道尔顿	
cmn-Latn-CN	dào’ěrdùn, tǒngyī yuánzǐ zhìliàng dǎnwèi	
dan-Latn-DK		
deu-Latn-DE	Dalton [n], atomare Masseneinheit	
eng-Latn-US	dalton, unified atomic mass unit	
fin-Latn-FI		
fra-Latn-FR	dalton, unité de masse atomique unifiée	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	とういつげんししつりょうたんい、ダルトン	
jpn-Jpan-JP	統一原子質量単位、ダルトン	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	а́томная едини́ца ма́ссы, дальто́н	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
