locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	佩兹瓦尔像场弯曲、场曲、像场弯曲	
cmn-Latn-CN	Pèizīwǎ’ěr xiàngchǎng wānqū, chǎng qū, xiàngchǎng wānqū	
dan-Latn-DK		
deu-Latn-DE		
eng-Latn-US	Petzval field curvature	
fin-Latn-FI		
fra-Latn-FR	courbure de champ de Petzval	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ぞうめんわんきょく	
jpn-Jpan-JP	像面湾曲	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	кривизна́ по́ля изображе́ния	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
