locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	红外线	
cmn-Latn-CN	hóngwài xiàn	
dan-Latn-DK		
deu-Latn-DE	Infrarotstrahlung	
eng-Latn-US	infrared	camera obscura [camerae obscurae]; electromagnetic radiation; spatial period, wavelength
fin-Latn-FI		
fra-Latn-FR	infrarouge [m]	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	せきがいせん	
jpn-Jpan-JP	赤外線	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	инфракра́сное излуче́ние	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
