locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	道尔顿定律、道尔顿分压定律	
cmn-Latn-CN	Dào’ěrdùn dìnglǜ, Dào’ěrdùn fēnyā dìnglǜ	
dan-Latn-DK		
deu-Latn-DE	Dalton-Gesetz [n], Dalton’sches Gesetz, Gesetz [n] der Partialdrücke [m-pl]	
eng-Latn-US	Dalton’s law, Dalton’s law of partial pressures	
fin-Latn-FI		
fra-Latn-FR	loi de Dalton, loi des pressions partielles	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ぶんあつのほうそく、ドルトンのほうそく	
jpn-Jpan-JP	分圧の法則、ドルトンの法則	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	зако́ны Да́льтона	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
