locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	克劳修斯不等式、克劳修斯定理	
cmn-Latn-CN	Kèláuxiūsī bùděngshì, Kèláuxiūsī dìnglǐ	
dan-Latn-DK		
deu-Latn-DE	Clausius-Ungleichung	
eng-Latn-US	Clausius theorem	
fin-Latn-FI		
fra-Latn-FR	inégalité de Clausius, théorème de Clausius	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	クラウジウスのていり	
jpn-Jpan-JP	クラウジウスの定理	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	нера́венство Клаузиуса	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
