locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	克劳修斯-克拉佩龙方程	
cmn-Latn-CN	Kèláuxiūsī-Kèlāpèilóng fāngchéng	
dan-Latn-DK		
deu-Latn-DE	Clausius-Clapeyron-Gleichung	
eng-Latn-US	Clausius–Clapeyron equation	
fin-Latn-FI		
fra-Latn-FR	formule [f] de Clausius-Clapeyron, équation de Clausius-Clapeyron	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT	equazione di Clapeyron, equazione di Clausius–Clapeyron	
jpn-Hrkt-JP	クラウジウス・クラペイロンのしき	
jpn-Jpan-JP	クラウジウス・クラペイロンの式	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL	Clausius-Clapeyron-vergelijking	
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	уравне́ние Клапейрона — Клаузиуса	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
