locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	绝热指数	
cmn-Latn-CN	juérè zhǐshù	
dan-Latn-DK		
deu-Latn-DE	Adiabatenexponent [m], Isentropenexponent [m], Wärmekapazitätsverhältnis	
eng-Latn-US	Laplace’s coefficient, adiabatic index, heat capacity ratio, ratio of specific heats	
fin-Latn-FI		
fra-Latn-FR	coefficient adiabatique, coefficient de Laplace, exposant adiabatique, indice [m] adiabatique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ひねつひ	
jpn-Jpan-JP	比熱比	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	показа́тель адиаба́ты	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
