locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	等熵过程	
cmn-Latn-CN	děng shāng guòchéng	
dan-Latn-DK		
deu-Latn-DE	isentrope Zustandsänderung	
eng-Latn-US	isentropic process	
fin-Latn-FI		
fra-Latn-FR	processus isentropique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	とうエントロピーかてい	
jpn-Jpan-JP	等エントロピー過程	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	Изоэнтропи́йный процесс, изоэнтро́пный процесс, изоэнтропи́ческий процесс, изэнтропи́ческий процесс	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
