locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	绝对温度、热力学温度	
cmn-Latn-CN	juéduì wēndù, rèlìxué wēndù	
dan-Latn-DK		
deu-Latn-DE	absolute Temperatur, thermodynamische Temperatur	
eng-Latn-US	absolute temperature, thermodynamic temperature	
fin-Latn-FI		
fra-Latn-FR	température absolue, température thermodynamique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ぜったいおんど、ねつりきがくおんど	
jpn-Jpan-JP	絶対温度、熱力学温度	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	абсолю́тная температу́ра, термодинами́ческая температу́ра	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
