locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	熵（热力学）	
cmn-Latn-CN	shāng (rèlì xué)	
dan-Latn-DK		
deu-Latn-DE	Entropie (Thermodynamik)	
eng-Latn-US	entropy (thermodynamics)	
fin-Latn-FI		
fra-Latn-FR	entropie (thermodynamique)	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	エントロピー（ねつりきがく）	
jpn-Jpan-JP	エントロピー（熱力学）	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	энтропи́я (термодина́мика)	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
