locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	热力学基本关系	
cmn-Latn-CN	rèlìxué jīběn guānxi	
dan-Latn-DK		
deu-Latn-DE	Fundamentalgleichung der Thermodynamik, Fundamentalrelation der Thermodynamik	
eng-Latn-US	fundamental thermodynamic relation	
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ねつりきがくのきほんしき	
jpn-Jpan-JP	熱力学の基本式	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
