locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	相变、物态变化	
cmn-Latn-CN	wùtài biànhuà, xiàng biàn	
dan-Latn-DK		
deu-Latn-DE	Phasentransformation, Phasenumwandlung, Phasenübergang [m]	
eng-Latn-US	phase change, phase transition	
fin-Latn-FI		
fra-Latn-FR	transition de phase	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	そうてんい	
jpn-Jpan-JP	相転移	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	фа́зовый перехо́д	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
