locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	热动力势能	
cmn-Latn-CN	rèdònglì shìnéng	
dan-Latn-DK		
deu-Latn-DE	thermodynamisches Potential	
eng-Latn-US	thermodynamic potential, thermodynamic potential energy	
fin-Latn-FI		
fra-Latn-FR	potentiel thermodynamique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ねつりきがくポテンシャル	
jpn-Jpan-JP	熱力学ポテンシャル	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	термодинами́ческие потенциа́лы [м мн]	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
