locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	绝热过程	
cmn-Latn-CN	juérè guòchéng	
dan-Latn-DK		
deu-Latn-DE	adiabate Zustandsänderung, adiabatische Zustandsänderung	
eng-Latn-US	adiabatic process	
fin-Latn-FI		
fra-Latn-FR	processus adiabatique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だんねつかてい	
jpn-Jpan-JP	断熱過程	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	адиаба́тный проце́сс, адиабати́ческий проце́сс	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
