locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	布朗运动	
cmn-Latn-CN	Bùlǎng yùndòng	
dan-Latn-DK		
deu-Latn-DE	brownsche Bewegung, brownsche Molekularbewegung	
eng-Latn-US	Brownian motion	
fin-Latn-FI		
fra-Latn-FR	mouvement brownien, processus [m] de Wiener	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ブラウンうんどう	
jpn-Jpan-JP	ブラウン運動	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	бра́уновское движе́ние, бро́уновское движе́ние	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
