locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	自由焓、吉布斯自由能、吉布斯能	
cmn-Latn-CN	Jíbùsī néng, Jíbùsī zìyóu néng, zìyóu hán	
dan-Latn-DK		
deu-Latn-DE	Gibbs-Energie, freie Enthalpie	
eng-Latn-US	Gibbs energy, Gibbs free energy	
fin-Latn-FI		
fra-Latn-FR	enthalpie libre, énergie de Gibbs, énergie libre de Gibbs	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じゆうエンタルピー、ギブズエネルギー	
jpn-Jpan-JP	自由エンタルピー、ギブズエネルギー	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	изобарно-изотермический потенциал, потенциа́л Ги́ббса, свобо́дная эне́ргия Ги́ббса, эне́ргия Ги́ббса	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
