locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_…物理现象…_
cmn-Latn-CN	_…wùlǐ xiànxiàng…_
dan-Latn-DK	
deu-Latn-DE	_…physikalische Phänomena [n-pl]…_, _…physikalische Phänomene [n-pl]…_
eng-Latn-US	_…physical phenomena…_
fin-Latn-FI	
fra-Latn-FR	_…phénomènes [m-pl] physiques…_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_…ぶつりげんしょう _…
jpn-Jpan-JP	_…物理現象…_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	_…физи́ческие явле́ния [с-мн]…_
spa-Latn-ES	
swe-Latn-SE	
zxx-Zsym-ZZ	
