locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	地动说、日心说	
cmn-Latn-CN	dìdòng shuō, rìxīn shuō	
dan-Latn-DK		
deu-Latn-DE	heliozentrische Weltbild, kopernikanisches Weltbild	
eng-Latn-US	heliocentrism	
fin-Latn-FI		
fra-Latn-FR	héliocentrisme	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	たいようちゅうしんせつ、ちどうせつ	
jpn-Jpan-JP	太陽中心説、地動説	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	гелиоцентри́зм, гелиоцентри́ческая систе́ма ми́ра	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
