locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_经济学_
cmn-Latn-CN	_jīngjì xué_
dan-Latn-DK	
deu-Latn-DE	_Wirtschaftswissenschaft_, _Ökonomie_
eng-Latn-US	_economics_
fin-Latn-FI	
fra-Latn-FR	_science économique_, _économie politique_, _économie_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_けいざいがく [3]_
jpn-Jpan-JP	_経済学_
kor-Hang-KR	경제학
kor-Kore-KR	經濟學
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	_полити́ческая нау́ка_, _политоло́гия_
spa-Latn-ES	
swe-Latn-SE	
tur-Latn-TR	
zxx-Zsym-ZZ	
